,ObjID,mjd,ra,dec,z,zErr,modelFlux_u,modelFlux_g,modelFlux_r,modelFlux_i,modelFlux_z,modelFluxIvar_u,modelFluxIvar_g,modelFluxIvar_r,modelFluxIvar_i,modelFluxIvar_z
728,1237645941296857980,51078,61.6649220437849,-1.22254627199419,0.425623,0.06384,0.5437595000000001,0.9545659,3.4482809999999997,4.771033,6.989922999999999,6.13974,21.59901,9.51303,4.373387,0.3156118
729,1237645941296857983,51078,61.6663561160667,-1.1243467851965099,0.39426500000000003,0.08634700000000001,0.5137626000000001,1.057347,2.8399330000000003,3.5300239999999996,4.879963,4.665966,15.81059,7.775842999999999,3.6162300000000003,0.2592019
730,1237645941296858146,51078,61.6204093642559,-1.07250446356476,0.789608,0.06591,0.04214437,0.04566853,0.5466778,2.727633,6.233575,15.621739999999999,61.406119999999994,29.30013,12.00487,0.836095
731,1237645941296923004,51078,61.8041860219311,-1.05754128065024,0.359181,0.056451999999999995,3.031089,5.26535,12.279689999999999,17.61201,25.897560000000002,5.980001000000001,19.60824,9.054399,4.235084,0.3449144
732,1237645941296923113,51078,61.739952732225106,-1.21003476539082,0.135545,0.053426,1.728847,5.64065,9.627533999999999,12.111880000000001,13.12609,6.094126999999999,17.15041,8.034436,3.960429,0.3237642
734,1237645941296923311,51078,61.7010949113468,-1.13478786612443,0.429422,0.043129,0.6927066,0.355017,2.90475,5.715407,9.12753,18.97227,75.82141999999999,32.97168,14.14679,1.019005
735,1237645941296923375,51078,61.74087104007629,-1.13047381774763,0.43285799999999997,0.065819,0.4028125,0.5216765,2.6093349999999997,5.012112,9.450743,9.216771000000001,31.76602,14.51925,6.564934,0.4892735
738,1237645941296988235,51078,61.9688721619918,-1.05853690595585,0.233897,0.09867999999999999,3.741142,0.08887047,-0.05386141,0.1898724,-0.180391,7.595738000000001,46.044909999999994,22.87439,10.512839999999999,0.7816920999999999
739,1237645941296988288,51078,61.97386961297979,-1.07262115880596,0.380146,0.10949500000000001,0.04771663,0.35648270000000004,0.8448163000000001,1.013917,1.13995,16.70019,78.41658000000001,39.22569,17.87134,1.377183
740,1237645941296988337,51078,61.8543273734002,-1.0782130403145,0.155499,0.027083,7.206981,22.85898,47.37904,69.8278,91.86211,5.788335,14.28253,6.370296,3.115059,0.3314798
741,1237645941296988430,51078,61.991807866452,-1.17892178579333,0.395791,0.10984200000000001,-0.2691966,0.89231,2.5794080000000004,3.5472639999999998,5.302245,18.58596,62.47063000000001,28.6793,12.97007,0.9860200000000001
742,1237645941296988773,51078,61.9851709592295,-1.12749706888794,0.25900700000000004,0.036976999999999996,0.1963429,2.977267,11.82744,20.10679,30.38622,10.22075,33.14891,13.5021,6.0467699999999995,0.5093489
743,1237645941296988847,51078,61.87421743622829,-1.15392453113811,0.48783699999999997,0.116922,0.5847711999999999,0.44296579999999997,1.8141919999999998,2.907668,2.123889,15.46008,57.49398000000001,27.263740000000002,12.05418,0.9524821
744,1237645941296988932,51078,61.92893497298861,-1.20739184556465,0.48231199999999996,0.049115,0.3408865,0.6088103,2.849914,5.898091,11.1451,21.70283,79.82726,34.93077,14.95708,1.1274620000000002
745,1237645941296988954,51078,61.939348027615395,-1.2054387402238798,0.454254,0.02713,0.06577078,0.1312829,1.649141,3.6739309999999996,6.413085,13.75087,49.7201,22.2013,9.893875999999999,0.726921
746,1237645941296989017,51078,61.9938891937014,-1.22179162699216,0.530064,0.025099,-0.3674062,1.0559180000000001,5.2597760000000005,13.715710000000001,24.24587,9.801459,33.42354,13.989220000000001,5.833799,0.4485064
747,1237645941296989018,51078,61.9938986171384,-1.18348589703403,0.54042,0.065549,0.45563180000000003,0.5621045,2.0321029999999998,4.411263,7.111664,14.96734,57.63255,26.26768,11.30495,0.8695476000000001
748,1237645941297054027,51078,62.113589887259295,-1.1084248430922499,0.596291,0.135658,1.37689,0.9704537,1.730802,2.138566,4.730764,9.436761,35.89213,17.296789999999998,7.68585,0.5955222
749,1237645941297054037,51078,62.1245755535709,-1.07734874733056,0.37248400000000004,0.057201999999999996,2.8087470000000003,4.1783589999999995,13.7798,22.3756,33.15931,7.863774,26.945959999999996,11.26803,5.219368,0.4423156
750,1237645941297054129,51078,62.0491578881048,-1.0818346592695602,0.170267,0.094803,0.3801756,1.203478,1.439036,1.696555,0.7243174,24.3313,90.00314,46.11827,20.818929999999998,1.684257
751,1237645941297054254,51078,62.121464006721794,-1.0845665402342,0.341688,0.044604000000000005,0.3320605,2.7757709999999998,12.77455,23.08793,36.64891,7.137569,23.21621,9.265709,4.141758,0.3476508
752,1237645941297054317,51078,61.99550100053471,-1.07611337173253,0.5349619999999999,0.071148,0.04169111,0.1918775,0.8729256,1.957307,3.196345,20.41512,84.61638,39.08826,17.127110000000002,1.3539709999999998
753,1237645941297054395,51078,62.0648141027759,-1.1095829260964698,0.483184,0.06307,0.7627953000000001,0.3288021,1.214366,1.300281,1.444935,14.62972,55.640130000000006,25.51377,11.69945,0.8779601
754,1237645941297054424,51078,62.0825850231377,-1.06059343954041,0.360169,0.106225,-0.1966165,0.9974995999999999,2.601311,3.359439,7.168104,10.43029,35.05981,16.0818,7.420886,0.5711607
755,1237645941297054427,51078,62.0816972358905,-1.17509520824354,0.193575,0.056576999999999995,0.0984767,-0.1522402,2.3986419999999997,2.779072,8.525249,10.61306,38.55782,16.36167,7.513275999999999,0.5575061
756,1237645941297120161,51078,62.2801995091385,-1.10444437723626,0.889107,0.058776999999999996,-0.1730504,0.01138727,0.6156951,1.8891919999999998,3.9608510000000003,18.52025,66.00186,30.56407,12.78673,0.9920198
757,1237645941297185090,51078,62.4050216296837,-1.18148753859342,0.211139,0.018185,1.160315,11.143289999999999,41.11634,72.04971,99.18384,6.543889,16.47092,5.861895,2.568761,0.2597296
758,1237645941297185093,51078,62.4046984571513,-1.18385691674896,0.23862600000000003,0.08846,0.275246,1.0278969999999998,1.619273,1.927934,0.8027022,14.447770000000002,50.73602,24.546470000000003,11.46459,0.9095835999999999
759,1237645941297185160,51078,62.3712121943482,-1.23115950732374,0.147502,0.049648000000000005,1.415884,3.3422989999999997,5.30986,6.633336999999999,7.550617,20.712429999999998,67.49432,33.20074,16.08302,1.335919
760,1237645941297185224,51078,62.302608023012,-1.1671750247748798,0.388036,0.077775,0.26900749999999995,0.779968,3.3677949999999996,5.133736,7.695397,19.16303,63.057719999999996,28.0421,12.60624,1.022606
761,1237645941297185246,51078,62.313095217260596,-1.08979393492663,0.5110979999999999,0.124508,0.7670514,1.555849,3.759386,6.711181,9.070422,10.40449,35.44342,16.477079999999997,7.551777,0.6012629
762,1237645941297185359,51078,62.3759304322637,-1.05653043990592,0.059146000000000004,0.12079300000000001,1.472436,4.755824,6.510985,7.654914999999999,12.36391,7.368786,22.50146,11.11528,5.44306,0.40620209999999995
763,1237645941297185436,51078,62.435604397234705,-1.23663904524648,0.25134,0.085039,1.378167,2.814835,5.452807,7.101655,4.644573,8.928931,29.80555,13.860420000000001,6.570310000000001,0.5342071999999999
764,1237645941297185515,51078,62.325171348476296,-1.17411996195333,0.43257399999999996,0.080755,0.41205820000000004,0.5811168000000001,1.713832,1.9377209999999998,2.38539,18.75515,64.39952,30.0797,13.71599,1.090522
765,1237645941297185556,51078,62.3628400511113,-1.22447861732895,0.277692,0.102923,0.030223400000000004,0.3009751,1.121838,1.226545,3.35848,16.51897,59.05698,26.250140000000002,11.99975,0.8877261000000001
766,1237645941297185639,51078,62.4265732752668,-1.16815035744451,0.610624,0.06741699999999999,0.08853605,0.37029090000000003,1.338071,3.867377,6.971842,20.0105,70.89623,32.86455,14.0873,1.075258
768,1237645941297250782,51078,62.445681443238,-1.09757832719393,0.368937,0.140199,0.01103031,1.180169,3.302639,5.359882,5.6611080000000005,13.63455,42.39326,20.66873,9.743209,0.7609872
769,1237645941297250807,51078,62.4655726457098,-1.2314119561536299,0.437258,0.038603,0.4509126,0.9156806999999999,5.472492,11.266119999999999,19.6104,17.05704,58.069990000000004,23.528010000000002,10.49921,0.8167121999999999
770,1237645941297250976,51078,62.4522625992411,-1.08319660498652,0.411454,0.079598,0.03033565,0.32628850000000004,1.589136,2.4062959999999998,3.290636,12.1243,41.538999999999994,19.67963,9.575499,0.6762049
771,1237645941297251033,51078,62.49413820474339,-1.18693143739645,0.37561300000000003,0.101469,0.05260574,0.6345036999999999,2.108748,2.873598,4.496389,16.41524,51.78759,23.91406,11.59188,0.8115649
776,1237645941297316255,51078,62.6441925214227,-1.1082611591912601,0.345457,0.07556399999999999,0.9157708000000001,2.5704830000000003,9.755283,16.670360000000002,23.7974,6.137976,18.85945,8.57373,3.8746769999999997,0.3179205
777,1237645941297316266,51078,62.6533641525792,-1.1419324324926299,0.31346199999999996,0.129275,0.1795285,1.564534,3.7937730000000003,5.947286,6.5903529999999995,20.20453,59.726040000000005,28.1322,12.89146,1.022316
778,1237645941297316291,51078,62.681131236807396,-1.18638769376906,0.279016,0.107,0.08263648,1.804814,5.265836,8.572171,10.84154,12.23205,37.60215,16.55412,7.669658,0.6097366999999999
779,1237645941297316375,51078,62.600225268208106,-1.12559111043784,0.738158,0.090054,-0.14914660000000002,0.3344627,1.089357,3.248047,5.18426,26.3103,86.88016,41.58682,18.07798,1.329497
780,1237645941297316475,51078,62.6767199738589,-1.23134949196744,0.747847,0.098025,0.319294,0.5586684000000001,0.937017,1.783986,2.139327,21.01691,69.54103,32.024440000000006,14.4157,1.041744
781,1237645941297316499,51078,62.6954201088599,-1.1870782447707702,0.423349,0.09818099999999999,0.1397299,0.35034570000000004,1.071935,1.5219559999999999,3.061402,30.84661,104.8149,48.25915,21.755129999999998,1.541911
782,1237645941297316545,51078,62.742415588750895,-1.08774100228891,0.608538,0.095458,0.6722429,0.3219611,1.034391,1.8939419999999998,2.939787,18.67438,70.50882,34.0758,15.563870000000001,1.1337540000000002
783,1237645941297381850,51078,62.7884616947703,-1.18631034448179,0.496567,0.153015,0.4948536,0.7533430999999999,1.7619580000000001,2.730505,2.6671810000000002,26.00534,88.41787,42.498470000000005,18.70224,1.379183
784,1237645941297381882,51078,62.8159564290526,-1.22665387121943,0.194682,0.042259,0.7369933000000001,4.336463,14.535789999999999,23.13164,33.236979999999996,11.38516,32.624759999999995,13.135660000000001,5.998905000000001,0.5134673
785,1237645941297381999,51078,62.7549982990189,-1.18017209159139,0.669427,0.058634000000000006,-0.2931303,0.0736808,1.982749,5.840726,16.67549,10.77929,37.5689,16.654139999999998,7.060707000000001,0.503116
787,1237645941297382023,51078,62.772407865160204,-1.22602304172412,0.387339,0.101176,0.2024316,0.7098760999999999,2.87613,4.9565150000000004,7.062316,14.27069,49.84648,21.93609,9.844892999999999,0.7278641
788,1237645941297382130,51078,62.8661298912813,-1.07849269984237,0.582228,0.10635399999999999,0.2204742,0.4911758,2.5774470000000003,3.210705,1.402766,11.11091,38.8922,17.92953,8.234395,0.6548215999999999
789,1237645941297382150,51078,62.8828274243416,-1.18289332569995,0.44733900000000004,0.041761,0.03326942,0.5721852,3.16059,7.073689999999999,12.32427,15.873470000000001,53.99794,24.17141,10.550310000000001,0.7975215
791,1237645941297447132,51078,62.9891493895454,-1.1602172680883602,0.28363299999999997,0.050592000000000005,1.341132,5.532058,20.61988,33.63671,53.691069999999996,9.921571,27.423440000000003,10.89109,5.000401999999999,0.43601590000000007
792,1237645941297447267,51078,62.9125591120916,-1.07981761136792,0.398934,0.08521000000000001,0.9570341999999998,1.4054870000000002,3.6649730000000003,4.434642,6.327151000000001,12.56022,43.142179999999996,20.80311,10.131910000000001,0.7647392
793,1237645941297447443,51078,62.91175350543939,-1.10013814587717,0.770713,0.11901099999999999,-0.01583378,0.1137625,1.168108,1.372228,-0.6418815,23.87921,83.98631,40.89902,18.82495,1.415923
794,1237645941297447522,51078,62.9712387027106,-1.18037905521397,0.34671599999999997,0.059642999999999995,-0.1737182,0.4407898,3.038242,4.922623000000001,6.730696000000001,22.43887,73.01279,33.30995,15.239529999999998,1.14287
795,1237645941297447543,51078,62.988871504791405,-1.10634177623073,0.768279,0.070885,0.5586727,0.45276530000000004,1.316741,3.6903339999999996,6.573900999999999,22.57265,79.42286,41.79432,17.87367,1.283725
796,1237645941297447577,51078,63.0102562041069,-1.19883248583913,0.643618,0.04193,0.4183344,0.198055,2.2383919999999997,5.017921,12.1448,8.372294,28.11685,13.34019,5.996334,0.4234894
797,1237645941297447588,51078,63.0176615596469,-1.1274623520673501,0.396967,0.06569900000000001,1.096601,2.2877419999999997,7.745048,12.34484,16.42191,2.970507,9.908545,4.612826999999999,2.184622,0.16559649999999998
798,1237645941297447599,51078,63.0254969702674,-1.20444863112319,0.426364,0.055026,-0.03467841,0.3185934,1.7600810000000002,3.645054,5.433829,24.179000000000002,78.30856,37.02604,16.657120000000003,1.207059
799,1237645941297512782,51078,63.174893239545604,-1.17146238437058,0.254656,0.03634,2.079577,5.712325,13.76493,20.61777,27.73348,8.346165,24.944110000000002,11.69829,5.514092,0.46158679999999996
800,1237645941297513026,51078,63.049061488222705,-1.23020141387508,0.52384,0.095235,0.8838241,0.8168038000000001,2.301225,3.7157440000000004,6.656560000000001,6.556591,22.1328,10.62914,4.920748000000001,0.3558373
801,1237645941297513065,51078,63.073455763979396,-1.1339505078591001,0.16776300000000002,0.095842,0.3943949,0.05494874,1.9916029999999998,3.227918,2.541007,17.45766,64.52691999999999,29.21343,13.259229999999999,1.003953
802,1237645941297513092,51078,63.089635308534206,-1.21337070358642,0.47209300000000004,0.064033,-0.1284117,0.1273612,1.334854,1.9296490000000002,4.376687,14.160039999999999,47.60671,22.08933,9.959963,0.7065918999999999
803,1237645941297513128,51078,63.11294759528771,-1.100515880188,0.479958,0.07123,0.28082379999999996,0.3103278,1.476025,2.2268209999999997,3.5438959999999997,17.301460000000002,61.248380000000004,29.0997,12.87156,0.9618336
804,1237645941297513160,51078,63.1351821875413,-1.24397547061428,0.310915,0.08711100000000001,0.23463499999999998,0.43137470000000006,1.410348,1.063213,2.507648,15.95745,55.74978,25.53624,12.18896,0.8488818000000001
805,1237645941297513171,51078,63.14670315866179,-1.17381970294958,0.531454,0.080307,0.8412086999999999,0.6598261999999999,1.9618810000000002,3.569886,4.161788,14.30149,51.49592,24.64412,10.91414,0.8101531
